,studentAnswer,referenceAnswer,ref_1,ref_2,accuracy
0,By letting it sit in a dish for a day.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
1,Let the water evaporate and the salt is left behind.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
2,The water evaporated and left salt crystals.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
3,I saw a pinkish grayish color that was blocking the water.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
4,You have to slowly tip the vial for only the water to go.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
5,"By pouring the water and salt into the thing, and letting the water evaporate.","The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
6,By slowly pouring it in a tray.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
7,The water evaporated so there was only salt left.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
8,We put the water with the salt in it and put it outside for the water to evaporate.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
9,I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
10,Because you can see salt in water.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
11,I let the water evaporate.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
12,The water dried up and left the salt.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
13,We let the water evaporate.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
14,The water dried up.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
15,You just get water and the smashed mock rock and put the smashed rock and water together.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
16,"You put the water, a little bit, in a cup and leave it overnight.","The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
17,We evaporated the salt from the water because the water evaporated and separated.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
18,We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
19,We poured the salt into a Petri dish and poured the water out.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
20,By the Petri dish.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
